PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL
85914,20030113,BBY,BEST BUY COMPANY INC,08651610,28.85000,7687000
85914,20030114,BBY,BEST BUY COMPANY INC,08651610,28.08000,4684000
85914,20030115,BBY,BEST BUY COMPANY INC,08651610,27.96000,4279500
85914,20030116,BBY,BEST BUY COMPANY INC,08651610,28.67000,3273300
85914,20030117,BBY,BEST BUY COMPANY INC,08651610,27.70000,3679300
85914,20030121,BBY,BEST BUY COMPANY INC,08651610,26.19000,4411000
85914,20030122,BBY,BEST BUY COMPANY INC,08651610,27.04000,5472600
85914,20030123,BBY,BEST BUY COMPANY INC,08651610,28.06000,3862900
85914,20030124,BBY,BEST BUY COMPANY INC,08651610,27.03000,2617300
85914,20030127,BBY,BEST BUY COMPANY INC,08651610,26.07000,4095400
85914,20030128,BBY,BEST BUY COMPANY INC,08651610,26.64000,2033800
85914,20030129,BBY,BEST BUY COMPANY INC,08651610,26.52000,2639000
85914,20030130,BBY,BEST BUY COMPANY INC,08651610,25.92000,2804400
85914,20030131,BBY,BEST BUY COMPANY INC,08651610,26.09000,2598600
85914,20030203,BBY,BEST BUY COMPANY INC,08651610,26.32000,3013400
85914,20030204,BBY,BEST BUY COMPANY INC,08651610,26.99000,4695000
85914,20030205,BBY,BEST BUY COMPANY INC,08651610,27.44000,7245800
85914,20030206,BBY,BEST BUY COMPANY INC,08651610,26.95000,2419500
85914,20030207,BBY,BEST BUY COMPANY INC,08651610,26.41000,2504500
85914,20030210,BBY,BEST BUY COMPANY INC,08651610,26.50000,2242500
85914,20030211,BBY,BEST BUY COMPANY INC,08651610,26.86000,3570300
85914,20030212,BBY,BEST BUY COMPANY INC,08651610,26.62000,1878100
85914,20030213,BBY,BEST BUY COMPANY INC,08651610,25.71000,4149900
85914,20030214,BBY,BEST BUY COMPANY INC,08651610,27.26000,4120700
85914,20030218,BBY,BEST BUY COMPANY INC,08651610,27.90000,3390400
85914,20030219,BBY,BEST BUY COMPANY INC,08651610,27.36000,3298100
85914,20030220,BBY,BEST BUY COMPANY INC,08651610,27.82000,3887700
85914,20030221,BBY,BEST BUY COMPANY INC,08651610,28.78000,5560900
85914,20030224,BBY,BEST BUY COMPANY INC,08651610,27.87000,3054500
85914,20030225,BBY,BEST BUY COMPANY INC,08651610,28.20000,2899400
85914,20030226,BBY,BEST BUY COMPANY INC,08651610,27.91000,2337900
85914,20030227,BBY,BEST BUY COMPANY INC,08651610,28.70000,3351300
85914,20030228,BBY,BEST BUY COMPANY INC,08651610,29.07000,2368100
85914,20030303,BBY,BEST BUY COMPANY INC,08651610,28.77000,3506200
85914,20030304,BBY,BEST BUY COMPANY INC,08651610,27.68000,2818800
85914,20030305,BBY,BEST BUY COMPANY INC,08651610,26.66000,7297700
85914,20030306,BBY,BEST BUY COMPANY INC,08651610,27.52000,6052400
85914,20030307,BBY,BEST BUY COMPANY INC,08651610,28.09000,3510700
85914,20030310,BBY,BEST BUY COMPANY INC,08651610,27.49000,3643400
85914,20030311,BBY,BEST BUY COMPANY INC,08651610,27.18000,3730500
85914,20030312,BBY,BEST BUY COMPANY INC,08651610,27.39000,2101700
85914,20030313,BBY,BEST BUY COMPANY INC,08651610,28.72000,3493600
85914,20030314,BBY,BEST BUY COMPANY INC,08651610,28.36000,3210000
85914,20030317,BBY,BEST BUY COMPANY INC,08651610,29.87000,4383600
85914,20030318,BBY,BEST BUY COMPANY INC,08651610,30.50000,5687500
85914,20030319,BBY,BEST BUY COMPANY INC,08651610,30.26000,4201000
