PERMNO,date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,BID,ASK,SHROUT,CFACPR
84415,20060228,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.18000,5.15000,4.90000,3468,4.90000,4.98000,13560,0.25
84415,20060331,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.60000,5.23000,5.00000,3218,4.91000,5.00000,13560,0.25
84415,20060428,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.00000,5.49000,5.27000,3167,5.27000,5.37000,13560,0.25
84415,20060531,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.20000,5.61000,5.25000,3304,5.25000,5.30000,13560,0.25
84415,20060630,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.90000,5.30000,5.15000,4242,5.15000,5.19000,13560,0.25
84415,20060731,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.11000,5.32000,5.20000,406,5.20000,5.24000,13560,0.25
84415,20060831,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.60000,5.70000,-5.50000,4462,5.45000,5.55000,13560,0.25
84415,20060929,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.06000,5.65000,5.20000,678,5.17000,5.20000,13913,0.25
84415,20061031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,-5.12500,5.89000,5.43000,2938,5.40000,5.43000,13913,0.25
84415,20061130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.42000,5.80000,5.65000,3576,5.56000,5.66000,14081,0.25
84415,20061229,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.26000,6.45000,6.28000,8440,6.28000,6.29000,14298,0.25
84415,20070131,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.94000,6.51000,6.12000,6944,6.09000,6.19000,14298,0.25
84415,20070228,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,6.01000,7.10000,6.64000,15447,6.64000,6.73000,14298,0.25
84415,20070330,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,6.46000,6.92000,6.80000,12248,6.80000,6.84000,15374,0.25
84415,20070430,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,6.62000,7.51000,7.32000,12127,7.31000,7.32000,15374,0.25
84415,20070531,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,7.72000,10.45000,9.82500,75128,9.82000,9.88000,15374,0.25
84415,20070629,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,8.76000,11.89000,11.89000,84274,11.89000,11.95000,16381,0.25
84415,20070731,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,11.86000,14.36010,11.86000,140151,11.71000,11.85000,16381,0.25
84415,20070831,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,11.30000,15.80000,15.80000,152680,15.74000,15.80000,16381,0.25
84415,20070928,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,15.54000,18.41000,18.41000,92472,18.33000,18.39000,17967,0.25
84415,20071031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,16.98000,21.49000,21.29000,77771,21.30000,21.35000,17967,0.25
84415,20071130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,14.82000,21.05000,18.20000,91886,18.20000,18.22000,20368,0.25
84415,20071231,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,15.57000,18.94000,18.12000,55247,18.07000,18.13000,20627,0.25
84415,20080131,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,14.91000,20.66000,14.91000,109622,14.86000,14.90000,20627,0.25
84415,20080229,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,9.24000,13.66000,9.97000,156351,9.98000,10.04000,20627,0.25
84415,20080331,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,7.25000,9.25000,8.35000,63499,8.35000,8.39000,20908,0.25
84415,20080430,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,8.55000,9.97000,8.55000,48252,8.54000,8.55000,20908,0.25
84415,20080530,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,9.60000,11.28000,10.75000,76937,10.72000,10.74000,20908,0.25
84415,20080630,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.61000,12.07000,4.61000,202961,4.61000,4.62000,20908,0.25
84415,20080731,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.21000,5.80000,4.70000,118613,4.70000,4.72000,20908,0.25
84415,20080829,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.49000,5.36000,5.36000,51928,5.36000,5.39000,20908,0.25
84415,20080930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.45000,5.40000,3.52000,41744,3.64000,3.66000,20908,0.25
84415,20081031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.21000,3.73000,2.68000,50610,2.62000,2.63000,20908,0.25
84415,20081128,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.46000,2.98000,1.79000,54135,1.78000,1.80000,21425,0.25
84415,20081231,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.40000,1.98000,1.84000,44012,1.84000,1.86000,20836,0.25
84415,20090130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.93000,2.38000,2.08990,35057,2.08000,2.11000,20836,0.25
84415,20090227,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.98000,2.65300,1.98000,20865,1.99000,2.01000,20836,0.25
84415,20090331,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.62000,2.00000,1.92000,16269,1.90000,1.92000,20836,0.25
84415,20090430,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.79000,2.11000,1.90000,25051,1.89000,1.92000,20836,0.25
84415,20090529,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.82000,2.49000,2.21000,40472,2.21000,2.23000,20836,0.25
84415,20090630,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.85000,2.45000,2.45000,19574,2.41000,2.45000,20836,0.25
84415,20090731,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.11000,3.07010,3.07010,21375,3.07000,3.08000,20836,0.25
84415,20090831,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.74000,3.41000,3.29000,24671,3.27000,3.29000,20836,0.25
84415,20090930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.89000,3.85000,3.79000,27039,3.80000,3.81000,20836,0.25
84415,20091030,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.62000,3.74000,2.62000,64134,2.60000,2.62000,20836,0.25
